"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2","go","genename"
"Irak2",1360.17958773915,1.93576844407365,0.168145937490351,11.5124306478397,1.14213180961965e-30,1.00591169866745e-28,551,569,2203,2160,"GO:0000166","interleukin-1 receptor-associated kinase 2"
"Il21r",2001.9732137217,1.78346263585294,0.154943279993761,11.5104226264266,1.16904083608491e-30,1.02130801429902e-28,870,923,3104,3179,"GO:0004888","interleukin 21 receptor"
"Sik3",767.343197317741,1.97872011846304,0.171993656959069,11.5046110039625,1.25051895786656e-30,1.08374974964547e-28,267,360,1223,1257,"GO:0000166","SIK family kinase 3"
"Nfkbie",3043.07395594662,1.5545783050121,0.135177532246542,11.5002713777672,1.31501320371006e-30,1.13059825680882e-28,1375,1733,4590,4603,"GO:0001650","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon"
"Eif2s3y",392.383319600637,-8.6301508685681,0.750868005676234,-11.4935658508925,1.42121812737328e-30,1.21228787195549e-28,744,815,3,1,"GO:0000166","eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"
"Phldb1",238.111283198981,3.56496005692701,0.311136325644148,11.457871560148,2.14726913020989e-30,1.81729425684092e-28,25,51,493,393,"GO:0003674","pleckstrin homology like domain, family B, member 1"
"Top1",1747.48411446266,1.67670578854993,0.146800162507521,11.4216889130761,3.25839482210108e-30,2.73629388432721e-28,768,899,2623,2772,"GO:0000228","topoisomerase (DNA) I"
"Gm11974",394.363862659103,2.64413703837089,0.231758543459438,11.4090164655944,3.76967522278409e-30,3.1412993606477e-28,110,106,621,760,NA,NA
"Arhgef3",969.799466448803,2.04364167251645,0.179345161291754,11.3950198477444,4.42729106938895e-30,3.66113314157943e-28,373,379,1444,1726,"GO:0005085","Rho guanine nucleotide exchange factor (GEF) 3"
"Ddx3y",618.7491474179,-9.70537095384888,0.852434349259644,-11.3854761510704,4.9397682154265e-30,4.05397796043297e-28,1148,1322,2,1,"GO:0000166","DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked"
"Pcyt1a",1985.61953931641,1.84772265077598,0.162317000723736,11.3834203597737,5.05764193481348e-30,4.11950639698003e-28,857,854,3037,3262,"GO:0003824","phosphate cytidylyltransferase 1, choline, alpha isoform"
"Gramd1a",929.852433719077,2.00138773699158,0.176174489464832,11.3602584748293,6.5949223971939e-30,5.33155181558221e-28,363,376,1472,1542,"GO:0003674","GRAM domain containing 1A"
"Tgif1",848.332035608431,1.88221767559749,0.16640044770125,11.3113738670749,1.15270299531487e-29,9.24980114684884e-28,319,410,1279,1429,"GO:0000122","TGFB-induced factor homeobox 1"
"Furin",739.054162926842,1.99362568244086,0.176478797521804,11.2966866866517,1.36262590584944e-29,1.08539164985787e-27,271,324,1104,1295,"GO:0000139","furin (paired basic amino acid cleaving enzyme)"
"Rel",15232.7194203665,1.96994280494779,0.174417926428475,11.2943826663116,1.39883492013077e-29,1.10610063429026e-27,6512,5638,24790,24327,"GO:0000122","reticuloendotheliosis oncogene"
"Anxa2",832.164228178814,1.8964261943258,0.168128088043035,11.2796512254418,1.65400422484535e-29,1.2983933165036e-27,297,416,1289,1371,"GO:0001525","annexin A2"
"Zfp366",2536.85625259637,1.62324013049235,0.145038505120418,11.1917875128723,4.4732355699733e-29,3.48622740500149e-27,1176,1304,3775,3987,"GO:0000122","zinc finger protein 366"
"Slc15a2",440.090878554694,2.58368628251297,0.232601403290969,11.1077845875287,1.14976665228101e-28,8.89673010297153e-27,121,130,842,678,"GO:0005887","solute carrier family 15 (H+/peptide transporter), member 2"
"Rhbdf2",507.684962201196,2.28455301568097,0.206199426761056,11.0793373753086,1.58037809697656e-28,1.2142011294005e-26,170,174,846,859,"GO:0005515","rhomboid 5 homolog 2"
"Slc38a1",5288.74754115899,1.42134444469163,0.12882448745135,11.0331853268843,2.64333629148614e-28,2.01656774969502e-26,2585,3189,7279,8357,"GO:0005886","solute carrier family 38, member 1"
"Swap70",3419.09922749987,1.57159004417444,0.14332324677001,10.9653533505026,5.60810595026023e-28,4.24843438875308e-26,1366,2144,4898,5487,"GO:0003677","SWA-70 protein"
"Mkl1",4721.85809412883,1.42692914277259,0.130364414977449,10.9456951348221,6.96811498218507e-28,5.24205483347298e-26,2337,2793,6737,7218,"GO:0000976","MKL (megakaryoblastic leukemia)/myocardin-like 1"
